campus,teachers,pct_begin,pct_1to5,pct_6to10,pct_11to20,pct_over20,avg_yrs_exp,avg_yrs_dist,stud_per_tchr,tchr_sal,admin_sal
'057905005,132.5,12.1,51.3,12.1,18.5,6,7,5.8,16.8,54607,81314
'057905006,73,8.2,46.8,16.3,17,11.7,8.5,5.3,15.4,56622,81773
'057905007,114.3,19.2,49,10.5,12.4,8.9,7.3,4.5,14.9,55110,75952
'057905008,96.3,4.2,39.5,10.4,26.2,19.7,11.4,8.7,15.1,56923,74829
'057905009,37.4,8,16,24.1,38.5,13.4,12.1,9.9,16.9,58943,74937
'057905011,24,4.2,16.7,8.3,50,20.8,13.9,12.2,3.4,57449,91917
'057905012,70.5,18.4,32.7,14.2,18.4,16.2,9.3,6.5,12.9,56817,78959
'057905013,42.8,9.4,42.2,16.5,16.6,15.4,10.6,8.6,16.7,57827,75447
'057905014,121.8,9.9,41.1,18.1,20.1,10.9,9,6.4,16,56598,77453
'057905015,91.5,9.8,38.2,16.4,22,13.6,9.1,6.5,15.9,56271,74832
'057905016,86.3,11.6,44.1,16.2,15.4,12.7,9.2,8,13.9,55836,76423
'057905017,117.4,25.5,42.7,11.9,10.3,9.6,6.4,4.3,15.3,54777,80550
'057905018,124.3,6.4,44.3,16.9,22.7,9.7,8.8,6.5,16,56265,74377
'057905021,131.8,9.1,33.4,21.2,20.4,15.8,10.3,7.8,16.9,56977,72576
'057905022,110.7,10.8,38.8,20.3,25.4,4.7,8.1,5.7,16.8,56618,77829
'057905023,80.2,10,22.5,17.4,31.4,18.8,12.3,9.7,14.2,56729,78473
'057905024,64.3,9.3,29.7,26.4,20.3,14.2,10.3,6.2,16.3,57810,77893
'057905025,284.3,8.1,27.8,14.8,27.6,21.7,12.7,9.5,15.9,57410,78248
'057905026,22.8,0,38.1,14.2,25.4,22.3,15.7,11.7,18.8,68961,
'057905028,88.9,7.9,40.4,16.9,26.9,8,8.6,5.6,14.7,56155,76053
'057905029,20.9,4.8,9.6,14.4,33.5,37.7,20,15.8,6,61883,99000
'057905030,6.1,0,0,32.9,50.7,16.4,17.1,10,3.9,64090,
'057905032,41.4,4.8,29,14.5,32.4,19.3,12.2,9.4,11.3,55419,76276
'057905033,27.4,0.9,16.4,24.1,31.2,27.4,15.1,10.6,18,61305,102520
'057905034,54.9,9.1,29.2,12.5,23.7,25.5,12.7,9.8,18.3,60183,95800
'057905035,16.4,4.2,17.1,20.4,49.3,8.9,10.9,6.4,14.9,60215,97333
'057905036,29.4,4.3,21.9,19.1,35.8,19,14.7,10.4,18.6,61780,97500
'057905037,22.5,1.1,13,31.6,31.5,22.8,15,10.2,14.8,61477,120000
'057905038,24.4,5.1,21.3,18.9,30.9,23.8,14.9,11,16.6,60701,104000
'057905039,16.4,0,8.3,29.9,28.3,33.5,17.6,13.1,16.8,68385,129600
'057905042,65.8,10.6,36.4,12.1,24.8,16,10.5,7.8,12.4,54957,71618
'057905043,41.9,4.8,54.9,7,19.1,14.3,8.3,7,12.9,53847,73917
'057905044,43,14,53.5,7,9.3,16.3,7.5,6.1,13.9,53747,68286
'057905045,60,15,50,11.7,20,3.3,6,4.1,14.1,54286,75077
'057905046,68,19.1,42.6,8.8,16.2,13.2,8.2,6.8,14,54812,69005
'057905047,68.1,11.7,44.6,17.6,16.1,9.9,8.1,5.7,15.2,55108,71570
'057905048,70.4,15.6,41.2,15.6,17.1,10.5,7.8,6.2,13.9,54423,71489
'057905049,102,10.8,39.2,20.6,16.7,12.7,8.5,7.1,16.9,57128,83002
'057905050,62.3,12.8,38.5,14.4,20.9,13.3,9,5.9,14.4,55252,71616
'057905051,47.5,8.4,27.4,16.8,25.2,22.2,12,9.9,17,56104,73967
'057905052,71.4,5.6,42,14.5,25.2,12.6,9.5,6.7,14.1,54821,77157
'057905053,95.7,12.5,45.2,20.3,13.6,8.4,7.3,5.4,15.5,56460,69965
'057905054,57.4,17.4,47.1,10.5,19.8,5.2,6.4,4.9,16,54173,76666
'057905055,46.2,6.9,36.8,21.6,23.8,10.8,9.2,6.5,14,57170,71212
'057905056,53.2,15.4,43.2,15,18.8,7.5,6.3,3.6,14.3,54322,74489
'057905057,19.6,0,10.2,10.2,48,31.6,19.9,15,15.9,63997,
'057905058,51,3.9,21.6,9.8,43.1,21.6,14.4,11.5,14.4,57603,80925
'057905059,79.5,18.9,41.5,11.3,20.1,8.2,7.1,5.9,14.5,55319,70185
'057905060,42,19,45.2,14.3,9.5,11.9,8.1,6.1,14,55072,73333
'057905062,66,9.1,53,13.6,18.2,6.1,6.8,5.9,13.5,55533,73114
'057905066,13.1,0,25.8,7.7,24,42.5,17.5,15.4,17.6,62254,76000
'057905068,72.2,13.8,49.9,12.5,14.1,9.7,7.2,4.8,14.6,55918,68420
'057905069,90.1,20,41.2,8.9,22.2,7.8,7.1,5,15.1,53685,69583
'057905071,26,0,38.5,15.4,30.8,15.4,11.8,9,17,64705,79953
'057905072,28,3.6,39.3,21.4,17.9,17.9,9.9,8.6,14.9,61381,77798
'057905073,24,20.8,25,16.7,25,12.5,9,5.4,17.5,56519,73942
'057905074,36,13.9,47.2,13.9,13.9,11.1,7.8,5.1,15.4,55360,68752
'057905075,14.5,6.9,13.8,29.3,28.8,21.1,13.1,11.4,11.8,60571,71000
'057905076,59.9,4.2,38.3,26.7,26.7,4.1,8.8,7.2,15.1,54794,73864
'057905077,54,29.6,33.3,14.8,14.8,7.4,6.7,4.7,14.1,53283,71033
'057905079,67,14.9,59.7,16.4,4.5,4.5,4.5,3.2,14.4,54960,70411
'057905083,71.9,15.3,36.2,13.9,22.1,12.5,8.7,6.4,13.5,55343,73230
'057905085,20,5,40,20,25,10,8.8,7.4,17.3,57199,83371
'057905088,22.5,4.4,17.8,40,31.1,6.6,9.4,7.2,19.2,61955,102550
'057905090,14,0,28.6,7.1,28.6,35.7,15.9,13.9,16.1,60636,97000
'057905096,,,,,,,,,,,
'057905099,7.3,0,0,0,58.7,41.3,22.1,16.3,9.9,62725,
'057905100,67.4,9.5,46,11.9,17.8,14.8,8.6,6,14.1,55197,72727
'057905101,44,2.3,45.5,9.1,29.6,13.6,9.8,7.3,17,55858,65500
'057905102,115.8,13,55.3,11.2,14.5,6,6.2,3.8,16.5,54288,65737
'057905103,32,9.4,43.8,9.4,31.2,6.2,8.5,5.8,14.7,55439,74842
'057905104,44,4.5,31.8,13.6,40.9,9.1,11.3,9.7,15.5,57089,69173
'057905105,39,0,20.5,10.3,53.8,15.4,13.7,12,16.7,59688,76746
'057905107,39,0,56.4,10.3,25.6,7.7,7.7,6.3,17.5,56457,68411
'057905108,32.5,4.6,58.5,15.4,21.5,0,6.2,3.9,16.8,53640,70562
'057905109,39,7.7,15.4,25.6,35.9,15.4,13.3,10.5,17.2,57516,68812
'057905110,43.5,1.1,43.7,34.5,13.8,6.9,8.7,7.5,15.4,60252,76244
'057905112,33,6.1,36.4,15.2,15.2,27.3,12.7,8.9,15.8,59401,72477
'057905114,28,7.1,25,21.4,17.9,28.6,13.1,11.1,14.8,55266,64309
'057905115,33.5,3,41.8,9,26.9,19.4,10.8,7.9,14.6,56812,67044
'057905116,42,0,19,21.4,42.9,16.7,13.6,11.9,16.7,60434,75989
'057905117,42,4.8,35.7,16.7,31,11.9,10.5,7.1,16.3,53979,70644
'057905118,27,11.1,48.1,7.4,18.5,14.8,9.4,6.8,18.1,56707,74797
'057905119,32.4,3.1,43.2,3.1,43,7.7,9.7,7.5,15.8,55998,67011
'057905120,44.4,2.3,40.6,15.8,33.8,7.6,9.5,8.7,15.3,58262,72158
'057905121,24.8,4,45.5,4,42.4,4,8.3,6.9,15.4,55349,76509
'057905122,39,10.3,51.3,12.8,12.8,12.8,7.8,4.8,14.3,55436,66786
'057905125,43.1,4.6,30.2,11.6,21.1,32.5,13.6,10.6,16.6,58273,65420
'057905126,36,0,58.3,25,11.1,5.6,6.7,4.8,16.3,55452,80008
'057905128,27,3.7,18.5,7.4,40.7,29.6,15,11.9,16.3,57661,68110
'057905129,42,2.4,45.2,21.4,19,11.9,9,6.8,15,56144,66928
'057905130,37,2.7,59.5,16.2,8.1,13.5,8.3,6.1,15.6,57060,69063
'057905131,25.6,19.5,7.8,25.8,27.3,19.5,11.1,8.7,12.8,57651,69625
'057905133,38,5.3,47.4,7.9,26.3,13.2,9.2,7.3,16.1,55052,71316
'057905134,25.5,0,11.7,34.3,42.4,11.5,13.2,11,17.3,64207,116250
'057905135,26.4,1.7,37.8,34,11.3,15.1,9.7,6.7,13.8,57705,76000
'057905136,30,10,23.3,26.7,30,10,11.1,8.7,13.7,59258,74790
'057905137,32,3.1,37.5,9.4,31.2,18.8,12,9.6,15.9,58258,75526
'057905139,40,5,45,15,15,20,10,7.1,14.3,56268,73464
'057905141,23.7,12.7,16.9,11.4,16.9,42.2,18.4,13.9,14.6,58434,89874
'057905142,41,0,24.4,22,34.1,19.5,12.7,9.5,14.7,59244,65940
'057905144,20,10,30,30,20,10,9,6.1,13.2,55883,70878
